\g(d)\-(21) \g(r)\-(11) \g(r)\-(22) \g(r)\-(33) \g(r)\-(44) Re\g(s)\-(12) Im\g(s)\-(12) Re\g(s)\-(13) Im\g(s)\-(13) Re\g(s)\-(14) Im\g(s)\-(14) Re\g(s)\-(23) Im\g(s)\-(23) Re\g(s)\-(24) Im\g(s)\-(24) Re\g(s)\-(34) Im\g(s)\-(34) I14
MHz 
delta21 rho11 rho22 rho33 rho44 Re_rho12 Im_rho12 Re_rho13 Im_rho13 Re_rho14 Im_rho14 Re_rho23 Im_rho23 Re_rho24 Im_rho24 Re_rho34 Im_rho34, I14
-59.400000 0.518155 0.00444431 0.475256 0.00214482 -0.0345172 -0.00168988 -9.60268e-05 0.00138005 -1.02552e-05 6.88561e-05 -0.0316266 0.00156609 -7.47095e-05 -0.000117153 -0.0317712 -0.00162222 4.84633e-09
-59.200000 0.518258 0.00448068 0.475103 0.00215877 -0.0347138 -0.00176831 -0.00117087 0.000332555 -8.86184e-05 6.8417e-06 -0.0316936 0.00159651 -1.55809e-05 -0.000184416 -0.0318702 -0.00162748 7.90003e-09
-59.000000 0.51837 0.00450732 0.47495 0.00217306 -0.0347966 -0.00187405 -0.000510363 -0.00102591 -5.42649e-05 -8.84127e-05 -0.0318002 0.00163668 6.66974e-05 -0.000149925 -0.0319721 -0.00163952 1.07615e-08
-58.800000 0.518487 0.00452825 0.474798 0.00218714 -0.034818 -0.00187826 0.000997488 -0.000827096 4.80362e-05 -8.61481e-05 -0.0319301 0.00164322 5.89478e-05 -6.08601e-05 -0.0320689 -0.0016557 9.72897e-09
-58.600000 0.5186 0.00455611 0.474643 0.00220098 -0.0349175 -0.00179023 0.00128822 0.00067446 7.86793e-05 1.25366e-05 -0.0320368 0.0016186 -2.97353e-05 -4.06227e-05 -0.0321609 -0.00166786 6.34761e-09
-58.400000 0.518706 0.00459484 0.474484 0.00221511 -0.0351309 -0.00174722 -5.04321e-05 0.00142808 -5.97071e-06 7.36192e-05 -0.0321064 0.00160932 -7.83484e-05 -0.000119851 -0.0322558 -0.00167365 5.45543e-09
-58.200000 0.518813 0.00463392 0.474323 0.00222985 -0.0353384 -0.00182734 -0.00119248 0.000389508 -9.16613e-05 1.24647e-05 -0.0321773 0.0016429 -1.90448e-05 -0.000192469 -0.0323584 -0.00168004 8.55717e-09
-58.000000 0.51893 0.00466242 0.474163 0.00224486 -0.0354274 -0.00194055 -0.000561808 -0.00103043 -6.0965e-05 -8.87261e-05 -0.0322869 0.00168953 6.82271e-05 -0.000159691 -0.0324635 -0.00169382 1.15891e-08
-57.800000 0.519052 0.00468406 0.474004 0.00225955 -0.0354478 -0.00194984 0.000995737 -0.000879911 4.49736e-05 -9.14845e-05 -0.0324197 0.00170167 6.34415e-05 -6.65362e-05 -0.0325626 -0.00171197 1.0392e-08
-57.600000 0.519171 0.00471236 0.473843 0.0022739 -0.0355461 -0.00185929 0.00134908 0.000653749 8.06479e-05 8.89834e-06 -0.0325273 0.00167863 -2.85029e-05 -4.22504e-05 -0.0326559 -0.00172541 6.58326e-09
-57.400000 0.519282 0.00475224 0.473677 0.00228853 -0.0357649 -0.00181088 7.69303e-08 0.00147761 -4.69055e-06 7.46716e-05 -0.0325949 0.00166762 -8.22564e-05 -0.00012336 -0.032752 -0.00173116 5.59785e-09
-57.200000 0.519394 0.00479307 0.473509 0.00230387 -0.0359826 -0.00189089 -0.00121243 0.00045158 -9.52458e-05 1.34352e-05 -0.0326631 0.00169905 -2.28676e-05 -0.000201508 -0.0328568 -0.00173657 9.25228e-09
-57.000000 0.519515 0.00482316 0.473342 0.00231963 -0.0360783 -0.00200982 -0.000616386 -0.00103199 -6.55916e-05 -9.32677e-05 -0.0327736 0.00174421 6.98112e-05 -0.000170373 -0.0329651 -0.00174947 1.30011e-08
-56.800000 0.519643 0.00484603 0.473176 0.00233516 -0.0360987 -0.00202284 0.000990944 -0.000935233 4.61518e-05 -9.91806e-05 -0.0329122 0.00175426 6.84919e-05 -7.24903e-05 -0.0330682 -0.00176748 1.19668e-08
-56.600000 0.519767 0.00487598 0.473007 0.0023504 -0.0361972 -0.00192885 0.00141174 0.000628743 8.76304e-05 5.96618e-06 -0.0330278 0.00172805 -2.67329e-05 -4.33268e-05 -0.0331653 -0.00178137 7.71468e-09
-56.400000 0.519883 0.00491854 0.472833 0.00236592 -0.0364237 -0.00187489 5.53987e-05 0.00152695 1.82127e-07 7.95548e-05 -0.033102 0.00171532 -8.61694e-05 -0.000126062 -0.0332651 -0.00178781 6.32901e-09
-56.200000 0.519999 0.0049625 0.472656 0.00238216 -0.0366538 -0.00195601 -0.00123055 0.000517793 -9.85176e-05 1.97349e-05 -0.0331744 0.00174953 -2.71272e-05 -0.00021032 -0.0333737 -0.0017943 1.00952e-08
-56.000000 0.520125 0.00499485 0.472481 0.00239876 -0.0367572 -0.00208314 -0.000673998 -0.00103067 -7.33849e-05 -9.35571e-05 -0.0332883 0.00180141 7.10903e-05 -0.000181666 -0.0334857 -0.00180897 1.41383e-08
-55.800000 0.520259 0.00501864 0.472307 0.00241501 -0.036777 -0.00210245 0.000983235 -0.0009926 4.2318e-05 -0.000105611 -0.0334303 0.00181774 7.36302e-05 -7.94482e-05 -0.0335915 -0.0018292 1.29446e-08
-55.600000 0.520389 0.00504913 0.472131 0.00243084 -0.0368736 -0.00200622 0.00147675 0.00060032 9.00297e-05 1.10855e-06 -0.0335476 0.00179358 -2.48304e-05 -4.53263e-05 -0.0336901 -0.00184468 8.10658e-09
